"Department","Category","Supplier","Year","Month","Dept.By.Year","Categ.By.Year","Total.Sales"
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2014,6,"FIDGETS 2014","BLUE FIDGETS 2014",82493
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2014,6,"FIDGETS 2014","BLUE FIDGETS 2014",83427
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2014,6,"FIDGETS 2014","BLUE FIDGETS 2014",83266
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2014,7,"FIDGETS 2014","BLUE FIDGETS 2014",142357
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2014,7,"FIDGETS 2014","BLUE FIDGETS 2014",142452
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2014,7,"FIDGETS 2014","BLUE FIDGETS 2014",142204
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2014,8,"FIDGETS 2014","BLUE FIDGETS 2014",153367
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2014,8,"FIDGETS 2014","BLUE FIDGETS 2014",154335
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2014,8,"FIDGETS 2014","BLUE FIDGETS 2014",153649
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2014,9,"FIDGETS 2014","BLUE FIDGETS 2014",101167
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2014,9,"FIDGETS 2014","BLUE FIDGETS 2014",101993
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2014,9,"FIDGETS 2014","BLUE FIDGETS 2014",101260
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2014,10,"FIDGETS 2014","BLUE FIDGETS 2014",57827
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2014,10,"FIDGETS 2014","BLUE FIDGETS 2014",57556
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2014,10,"FIDGETS 2014","BLUE FIDGETS 2014",57405
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2014,11,"FIDGETS 2014","BLUE FIDGETS 2014",37695
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2014,11,"FIDGETS 2014","BLUE FIDGETS 2014",37618
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2014,11,"FIDGETS 2014","BLUE FIDGETS 2014",38072
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2014,12,"FIDGETS 2014","BLUE FIDGETS 2014",62572
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2014,12,"FIDGETS 2014","BLUE FIDGETS 2014",62548
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2014,12,"FIDGETS 2014","BLUE FIDGETS 2014",62567
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2015,1,"FIDGETS 2015","BLUE FIDGETS 2015",9576
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2015,1,"FIDGETS 2015","BLUE FIDGETS 2015",9541
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2015,1,"FIDGETS 2015","BLUE FIDGETS 2015",9595
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2015,2,"FIDGETS 2015","BLUE FIDGETS 2015",8381
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2015,2,"FIDGETS 2015","BLUE FIDGETS 2015",8364
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2015,2,"FIDGETS 2015","BLUE FIDGETS 2015",8456
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2015,3,"FIDGETS 2015","BLUE FIDGETS 2015",14763
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2015,3,"FIDGETS 2015","BLUE FIDGETS 2015",14541
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2015,3,"FIDGETS 2015","BLUE FIDGETS 2015",14568
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2015,4,"FIDGETS 2015","BLUE FIDGETS 2015",27158
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2015,4,"FIDGETS 2015","BLUE FIDGETS 2015",27466
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2015,4,"FIDGETS 2015","BLUE FIDGETS 2015",27409
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2015,5,"FIDGETS 2015","BLUE FIDGETS 2015",54529
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2015,5,"FIDGETS 2015","BLUE FIDGETS 2015",54421
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2015,5,"FIDGETS 2015","BLUE FIDGETS 2015",54657
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2015,6,"FIDGETS 2015","BLUE FIDGETS 2015",80979
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2015,6,"FIDGETS 2015","BLUE FIDGETS 2015",80824
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2015,6,"FIDGETS 2015","BLUE FIDGETS 2015",80632
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2015,7,"FIDGETS 2015","BLUE FIDGETS 2015",128775
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2015,7,"FIDGETS 2015","BLUE FIDGETS 2015",129442
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2015,7,"FIDGETS 2015","BLUE FIDGETS 2015",128700
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2015,8,"FIDGETS 2015","BLUE FIDGETS 2015",140982
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2015,8,"FIDGETS 2015","BLUE FIDGETS 2015",140078
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2015,8,"FIDGETS 2015","BLUE FIDGETS 2015",141468
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2015,9,"FIDGETS 2015","BLUE FIDGETS 2015",105127
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2015,9,"FIDGETS 2015","BLUE FIDGETS 2015",104576
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2015,9,"FIDGETS 2015","BLUE FIDGETS 2015",105266
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2015,10,"FIDGETS 2015","BLUE FIDGETS 2015",54184
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2015,10,"FIDGETS 2015","BLUE FIDGETS 2015",54329
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2015,10,"FIDGETS 2015","BLUE FIDGETS 2015",54426
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2015,11,"FIDGETS 2015","BLUE FIDGETS 2015",39492
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2015,11,"FIDGETS 2015","BLUE FIDGETS 2015",39360
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2015,11,"FIDGETS 2015","BLUE FIDGETS 2015",39641
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2015,12,"FIDGETS 2015","BLUE FIDGETS 2015",73128
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2015,12,"FIDGETS 2015","BLUE FIDGETS 2015",73447
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2015,12,"FIDGETS 2015","BLUE FIDGETS 2015",73350
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2016,1,"FIDGETS 2016","BLUE FIDGETS 2016",13484
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2016,1,"FIDGETS 2016","BLUE FIDGETS 2016",13362
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2016,1,"FIDGETS 2016","BLUE FIDGETS 2016",13439
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2016,2,"FIDGETS 2016","BLUE FIDGETS 2016",11459
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2016,2,"FIDGETS 2016","BLUE FIDGETS 2016",11612
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2016,2,"FIDGETS 2016","BLUE FIDGETS 2016",11683
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2016,3,"FIDGETS 2016","BLUE FIDGETS 2016",19785
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2016,3,"FIDGETS 2016","BLUE FIDGETS 2016",19630
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2016,3,"FIDGETS 2016","BLUE FIDGETS 2016",19972
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2016,4,"FIDGETS 2016","BLUE FIDGETS 2016",27373
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2016,4,"FIDGETS 2016","BLUE FIDGETS 2016",27063
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2016,4,"FIDGETS 2016","BLUE FIDGETS 2016",26996
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2016,5,"FIDGETS 2016","BLUE FIDGETS 2016",44315
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2016,5,"FIDGETS 2016","BLUE FIDGETS 2016",44198
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2016,5,"FIDGETS 2016","BLUE FIDGETS 2016",44362
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2016,6,"FIDGETS 2016","BLUE FIDGETS 2016",85250
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2016,6,"FIDGETS 2016","BLUE FIDGETS 2016",85024
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2016,6,"FIDGETS 2016","BLUE FIDGETS 2016",84751
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2016,7,"FIDGETS 2016","BLUE FIDGETS 2016",131730
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2016,7,"FIDGETS 2016","BLUE FIDGETS 2016",131644
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2016,7,"FIDGETS 2016","BLUE FIDGETS 2016",131826
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2016,8,"FIDGETS 2016","BLUE FIDGETS 2016",148167
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2016,8,"FIDGETS 2016","BLUE FIDGETS 2016",148213
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2016,8,"FIDGETS 2016","BLUE FIDGETS 2016",148226
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2016,9,"FIDGETS 2016","BLUE FIDGETS 2016",95933
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2016,9,"FIDGETS 2016","BLUE FIDGETS 2016",96064
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2016,9,"FIDGETS 2016","BLUE FIDGETS 2016",94997
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2016,10,"FIDGETS 2016","BLUE FIDGETS 2016",60322
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2016,10,"FIDGETS 2016","BLUE FIDGETS 2016",61126
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2016,10,"FIDGETS 2016","BLUE FIDGETS 2016",60595
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2016,11,"FIDGETS 2016","BLUE FIDGETS 2016",39659
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2016,11,"FIDGETS 2016","BLUE FIDGETS 2016",39899
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2016,11,"FIDGETS 2016","BLUE FIDGETS 2016",39921
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2016,12,"FIDGETS 2016","BLUE FIDGETS 2016",67354
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2016,12,"FIDGETS 2016","BLUE FIDGETS 2016",67548
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2016,12,"FIDGETS 2016","BLUE FIDGETS 2016",67753
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2017,1,"FIDGETS 2017","BLUE FIDGETS 2017",9025
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2017,1,"FIDGETS 2017","BLUE FIDGETS 2017",8857
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2017,1,"FIDGETS 2017","BLUE FIDGETS 2017",9119
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2017,2,"FIDGETS 2017","BLUE FIDGETS 2017",12098
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2017,2,"FIDGETS 2017","BLUE FIDGETS 2017",12412
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2017,2,"FIDGETS 2017","BLUE FIDGETS 2017",11966
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2017,3,"FIDGETS 2017","BLUE FIDGETS 2017",14155
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2017,3,"FIDGETS 2017","BLUE FIDGETS 2017",14345
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2017,3,"FIDGETS 2017","BLUE FIDGETS 2017",13966
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2017,4,"FIDGETS 2017","BLUE FIDGETS 2017",32977
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2017,4,"FIDGETS 2017","BLUE FIDGETS 2017",33055
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2017,4,"FIDGETS 2017","BLUE FIDGETS 2017",33580
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2017,5,"FIDGETS 2017","BLUE FIDGETS 2017",45476
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2017,5,"FIDGETS 2017","BLUE FIDGETS 2017",44838
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2017,5,"FIDGETS 2017","BLUE FIDGETS 2017",45454
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2017,6,"FIDGETS 2017","BLUE FIDGETS 2017",77666
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2017,6,"FIDGETS 2017","BLUE FIDGETS 2017",78091
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2017,6,"FIDGETS 2017","BLUE FIDGETS 2017",77740
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2017,7,"FIDGETS 2017","BLUE FIDGETS 2017",105354
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2017,7,"FIDGETS 2017","BLUE FIDGETS 2017",107642
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2017,7,"FIDGETS 2017","BLUE FIDGETS 2017",106536
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2017,8,"FIDGETS 2017","BLUE FIDGETS 2017",131131
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2017,8,"FIDGETS 2017","BLUE FIDGETS 2017",129725
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2017,8,"FIDGETS 2017","BLUE FIDGETS 2017",130444
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2017,9,"FIDGETS 2017","BLUE FIDGETS 2017",90485
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2017,9,"FIDGETS 2017","BLUE FIDGETS 2017",90369
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2017,9,"FIDGETS 2017","BLUE FIDGETS 2017",90582
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2017,10,"FIDGETS 2017","BLUE FIDGETS 2017",54916
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2017,10,"FIDGETS 2017","BLUE FIDGETS 2017",54811
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2017,10,"FIDGETS 2017","BLUE FIDGETS 2017",55938
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2017,11,"FIDGETS 2017","BLUE FIDGETS 2017",40899
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2017,11,"FIDGETS 2017","BLUE FIDGETS 2017",39160
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2017,11,"FIDGETS 2017","BLUE FIDGETS 2017",39796
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp",2017,12,"FIDGETS 2017","BLUE FIDGETS 2017",73343
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling",2017,12,"FIDGETS 2017","BLUE FIDGETS 2017",74555
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets",2017,12,"FIDGETS 2017","BLUE FIDGETS 2017",72667
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2014,1,"WIDGETS 2014","BLUE WIDGETS 2014",21467
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2014,1,"WIDGETS 2014","BLUE WIDGETS 2014",21426
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2014,1,"WIDGETS 2014","BLUE WIDGETS 2014",21535
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2014,2,"WIDGETS 2014","BLUE WIDGETS 2014",29695
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2014,2,"WIDGETS 2014","BLUE WIDGETS 2014",29981
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2014,2,"WIDGETS 2014","BLUE WIDGETS 2014",29975
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2014,3,"WIDGETS 2014","BLUE WIDGETS 2014",41009
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2014,3,"WIDGETS 2014","BLUE WIDGETS 2014",40882
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2014,3,"WIDGETS 2014","BLUE WIDGETS 2014",41330
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2014,4,"WIDGETS 2014","BLUE WIDGETS 2014",64638
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2014,4,"WIDGETS 2014","BLUE WIDGETS 2014",65019
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2014,4,"WIDGETS 2014","BLUE WIDGETS 2014",64573
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2014,5,"WIDGETS 2014","BLUE WIDGETS 2014",113351
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2014,5,"WIDGETS 2014","BLUE WIDGETS 2014",114031
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2014,5,"WIDGETS 2014","BLUE WIDGETS 2014",113991
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2014,6,"WIDGETS 2014","BLUE WIDGETS 2014",154816
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2014,6,"WIDGETS 2014","BLUE WIDGETS 2014",154125
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2014,6,"WIDGETS 2014","BLUE WIDGETS 2014",154425
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2014,7,"WIDGETS 2014","BLUE WIDGETS 2014",202359
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2014,7,"WIDGETS 2014","BLUE WIDGETS 2014",203290
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2014,7,"WIDGETS 2014","BLUE WIDGETS 2014",202814
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2014,8,"WIDGETS 2014","BLUE WIDGETS 2014",212095
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2014,8,"WIDGETS 2014","BLUE WIDGETS 2014",212346
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2014,8,"WIDGETS 2014","BLUE WIDGETS 2014",212012
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2014,9,"WIDGETS 2014","BLUE WIDGETS 2014",177755
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2014,9,"WIDGETS 2014","BLUE WIDGETS 2014",178881
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2014,9,"WIDGETS 2014","BLUE WIDGETS 2014",178030
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2014,10,"WIDGETS 2014","BLUE WIDGETS 2014",109138
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2014,10,"WIDGETS 2014","BLUE WIDGETS 2014",109485
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2014,10,"WIDGETS 2014","BLUE WIDGETS 2014",109913
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2014,11,"WIDGETS 2014","BLUE WIDGETS 2014",60259
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2014,11,"WIDGETS 2014","BLUE WIDGETS 2014",59726
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2014,11,"WIDGETS 2014","BLUE WIDGETS 2014",59992
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2014,12,"WIDGETS 2014","BLUE WIDGETS 2014",77401
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2014,12,"WIDGETS 2014","BLUE WIDGETS 2014",77513
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2014,12,"WIDGETS 2014","BLUE WIDGETS 2014",77373
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2015,1,"WIDGETS 2015","BLUE WIDGETS 2015",25278
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2015,1,"WIDGETS 2015","BLUE WIDGETS 2015",25173
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2015,1,"WIDGETS 2015","BLUE WIDGETS 2015",25169
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2015,2,"WIDGETS 2015","BLUE WIDGETS 2015",24180
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2015,2,"WIDGETS 2015","BLUE WIDGETS 2015",24213
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2015,2,"WIDGETS 2015","BLUE WIDGETS 2015",23883
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2015,3,"WIDGETS 2015","BLUE WIDGETS 2015",38552
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2015,3,"WIDGETS 2015","BLUE WIDGETS 2015",38266
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2015,3,"WIDGETS 2015","BLUE WIDGETS 2015",38378
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2015,4,"WIDGETS 2015","BLUE WIDGETS 2015",65867
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2015,4,"WIDGETS 2015","BLUE WIDGETS 2015",66355
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2015,4,"WIDGETS 2015","BLUE WIDGETS 2015",66191
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2015,5,"WIDGETS 2015","BLUE WIDGETS 2015",123735
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2015,5,"WIDGETS 2015","BLUE WIDGETS 2015",123137
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2015,5,"WIDGETS 2015","BLUE WIDGETS 2015",124287
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2015,6,"WIDGETS 2015","BLUE WIDGETS 2015",154631
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2015,6,"WIDGETS 2015","BLUE WIDGETS 2015",155574
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2015,6,"WIDGETS 2015","BLUE WIDGETS 2015",154594
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2015,7,"WIDGETS 2015","BLUE WIDGETS 2015",198488
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2015,7,"WIDGETS 2015","BLUE WIDGETS 2015",198320
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2015,7,"WIDGETS 2015","BLUE WIDGETS 2015",198522
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2015,8,"WIDGETS 2015","BLUE WIDGETS 2015",223406
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2015,8,"WIDGETS 2015","BLUE WIDGETS 2015",222571
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2015,8,"WIDGETS 2015","BLUE WIDGETS 2015",222738
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2015,9,"WIDGETS 2015","BLUE WIDGETS 2015",197672
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2015,9,"WIDGETS 2015","BLUE WIDGETS 2015",198752
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2015,9,"WIDGETS 2015","BLUE WIDGETS 2015",197808
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2015,10,"WIDGETS 2015","BLUE WIDGETS 2015",112550
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2015,10,"WIDGETS 2015","BLUE WIDGETS 2015",111828
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2015,10,"WIDGETS 2015","BLUE WIDGETS 2015",112471
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2015,11,"WIDGETS 2015","BLUE WIDGETS 2015",72802
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2015,11,"WIDGETS 2015","BLUE WIDGETS 2015",72450
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2015,11,"WIDGETS 2015","BLUE WIDGETS 2015",72685
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2015,12,"WIDGETS 2015","BLUE WIDGETS 2015",91457
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2015,12,"WIDGETS 2015","BLUE WIDGETS 2015",91568
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2015,12,"WIDGETS 2015","BLUE WIDGETS 2015",91474
"WIDGETS","BLUE WIDGETS","Blue Like Widgets",2016,1,"WIDGETS 2016","BLUE WIDGETS 2016",30977
"WIDGETS","BLUE WIDGETS","Blue Widget Corp",2016,1,"WIDGETS 2016","BLUE WIDGETS 2016",30995
"WIDGETS","BLUE WIDGETS","Blue Widgets Smiling",2016,1,"WIDGETS 2016","BLUE WIDGETS 2016",30952
