"Department","Category","Supplier","Date.Sold","Year","Month","Dept.By.Year","Categ.By.Year","Total.Sales"
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-16",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",84
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-16",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",179
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-16",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",218
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-17",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",176
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-17",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",171
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-17",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",214
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-18",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",1070
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-18",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",977
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-18",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",1065
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-19",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",892
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-19",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",891
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-19",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",917
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-20",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",399
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-20",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",374
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-20",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",398
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-23",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",80
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-23",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",99
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-23",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",90
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-24",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",318
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-24",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",287
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-24",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",317
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-25",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",393
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-25",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",501
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-25",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",432
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-26",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",203
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-26",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",114
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-26",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",168
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-27",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",107
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-27",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",192
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-27",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",132
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-30",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",91
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-30",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",93
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-30",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",97
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-01-31",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",307
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-01-31",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",202
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-01-31",2014,1,"FIDGETS 2014","BLUE FIDGETS 2014",186
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-01",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",842
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-01",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",958
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-01",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",1010
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-02",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",521
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-02",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",432
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-02",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",477
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-06",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",195
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-06",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",189
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-06",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",104
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-07",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",194
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-07",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",220
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-07",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",185
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-08",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",775
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-08",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",816
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-08",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",821
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-09",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",401
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-09",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",416
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-09",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",496
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-10",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",215
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-10",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",201
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-10",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",93
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-11",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",93
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-11",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",82
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-11",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",219
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-12",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",93
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-12",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",105
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-12",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",92
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-13",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",437
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-13",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",440
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-13",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",438
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-14",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",483
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-14",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",478
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-14",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",423
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-15",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",1504
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-15",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",1505
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-15",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",1551
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-16",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",1003
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-16",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",948
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-16",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",1027
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-17",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",256
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-17",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",314
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-17",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",286
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-19",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",114
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-20",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",302
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-20",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",374
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-20",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",324
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-21",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",433
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-21",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",274
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-21",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",300
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-22",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",1314
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-22",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",1347
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-22",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",1349
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-23",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",763
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-23",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",692
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-23",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",708
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-24",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",182
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-24",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",180
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-24",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",184
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-27",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",86
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-27",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",101
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-27",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",197
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-02-28",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",294
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-02-28",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",343
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-02-28",2014,2,"FIDGETS 2014","BLUE FIDGETS 2014",318
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-01",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",843
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-01",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",901
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-01",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",918
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-02",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",400
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-02",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",381
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-02",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",306
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-04",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",116
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-05",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",102
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-06",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",97
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-06",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",111
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-06",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",110
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-07",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",279
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-07",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",207
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-07",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",294
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-08",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",1170
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-08",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",1245
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-08",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",1020
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-09",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",696
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-09",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",699
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-09",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",722
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-10",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",190
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-10",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",297
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-10",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",280
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-11",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",382
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-11",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",408
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-11",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",379
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-12",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",105
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-12",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",100
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-12",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",93
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-13",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",188
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-13",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",102
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-13",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",111
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-14",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",203
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-14",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",328
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-14",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",291
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-15",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",1923
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-15",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",1839
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-15",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",1775
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-16",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",886
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-16",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",892
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-16",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",893
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-18",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",192
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-18",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",314
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-18",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",292
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-19",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",385
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-19",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",298
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-19",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",328
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-20",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",418
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-20",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",482
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-20",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",472
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-21",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",747
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-21",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",805
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-21",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",794
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-22",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",1608
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-22",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",1539
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-22",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",1595
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-23",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",589
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-23",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",498
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-23",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",608
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-24",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",298
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-24",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",298
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-24",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",291
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-25",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",210
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-25",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",179
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-25",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",170
"FIDGETS","BLUE FIDGETS","Blue Fidget Corp","2014-03-26",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",96
"FIDGETS","BLUE FIDGETS","Blue Fidgets Smiling","2014-03-26",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",181
"FIDGETS","BLUE FIDGETS","Blue Like Fidgets","2014-03-26",2014,3,"FIDGETS 2014","BLUE FIDGETS 2014",116
